mes_referencia,area,centro_custo_id,orcado
2024-01-01,Comercial,CC001,19607.98
2024-01-01,Comercial,CC002,34375.69
2024-01-01,Comercial,CC003,30782.37
2024-01-01,Comercial,CC004,10912.26
2024-01-01,Operações,CC005,25957.32
2024-01-01,Operações,CC006,16944.28
2024-01-01,Operações,CC007,6390.61
2024-01-01,Operações,CC008,29121.02
2024-01-01,Tecnologia,CC009,41121.03
2024-01-01,Tecnologia,CC010,18405.22
2024-01-01,Tecnologia,CC011,16908.2
2024-01-01,Administrativo,CC012,16022.36
2024-01-01,Administrativo,CC013,3138.57
2024-01-01,Administrativo,CC014,10577.62
2024-01-01,Financeiro,CC015,17567.5
2024-01-01,Financeiro,CC016,3643.43
2024-01-01,Financeiro,CC017,10810.44
2024-01-01,RH,CC018,1638.09
2024-01-01,RH,CC019,13446.4
2024-01-01,RH,CC020,12894.43
2024-01-01,Diretoria,CC021,13805.7
2024-01-01,Diretoria,CC022,11236.47
2024-01-01,Diretoria,CC023,10181.68
2024-02-01,Comercial,CC001,18935.68
2024-02-01,Comercial,CC002,34045.66
2024-02-01,Comercial,CC003,21508.61
2024-02-01,Comercial,CC004,26523.04
2024-02-01,Operações,CC005,26469.25
2024-02-01,Operações,CC006,21449.32
2024-02-01,Operações,CC007,13256.05
2024-02-01,Operações,CC008,24063.02
2024-02-01,Tecnologia,CC009,34335.77
2024-02-01,Tecnologia,CC010,5639.89
2024-02-01,Tecnologia,CC011,42348.06
2024-02-01,Administrativo,CC012,19924.26
2024-02-01,Administrativo,CC013,5595.73
2024-02-01,Administrativo,CC014,8042.73
2024-02-01,Financeiro,CC015,21415.26
2024-02-01,Financeiro,CC016,9585.03
2024-02-01,Financeiro,CC017,4045.63
2024-02-01,RH,CC018,1990.56
2024-02-01,RH,CC019,15371.32
2024-02-01,RH,CC020,13309.29
2024-02-01,Diretoria,CC021,9256.36
2024-02-01,Diretoria,CC022,14378.03
2024-02-01,Diretoria,CC023,13068.02
2024-03-01,Comercial,CC001,25664.67
2024-03-01,Comercial,CC002,36931.91
2024-03-01,Comercial,CC003,25258.58
2024-03-01,Comercial,CC004,32254.68
2024-03-01,Operações,CC005,27856.06
2024-03-01,Operações,CC006,24754.03
2024-03-01,Operações,CC007,15986.05
2024-03-01,Operações,CC008,21180.52
2024-03-01,Tecnologia,CC009,43974.9
2024-03-01,Tecnologia,CC010,17749.21
2024-03-01,Tecnologia,CC011,33828.83
2024-03-01,Administrativo,CC012,22937.52
2024-03-01,Administrativo,CC013,3078.75
2024-03-01,Administrativo,CC014,12621.75
2024-03-01,Financeiro,CC015,22281.03
2024-03-01,Financeiro,CC016,6931.62
2024-03-01,Financeiro,CC017,13095.3
2024-03-01,RH,CC018,1858.26
2024-03-01,RH,CC019,17156.63
2024-03-01,RH,CC020,15768.51
2024-03-01,Diretoria,CC021,17914.9
2024-03-01,Diretoria,CC022,14770.49
2024-03-01,Diretoria,CC023,12886.77
2024-04-01,Comercial,CC001,24885.96
2024-04-01,Comercial,CC002,43163.11
2024-04-01,Comercial,CC003,25537.41
2024-04-01,Comercial,CC004,25382.18
2024-04-01,Operações,CC005,30352.94
2024-04-01,Operações,CC006,23458.74
2024-04-01,Operações,CC007,13841.43
2024-04-01,Operações,CC008,29806.84
2024-04-01,Tecnologia,CC009,34832.36
2024-04-01,Tecnologia,CC010,21029.74
2024-04-01,Tecnologia,CC011,38328.8
2024-04-01,Administrativo,CC012,9502.9
2024-04-01,Administrativo,CC013,12195.13
2024-04-01,Administrativo,CC014,18196.51
2024-04-01,Financeiro,CC015,21108.15
2024-04-01,Financeiro,CC016,8738.48
2024-04-01,Financeiro,CC017,12856.4
2024-04-01,RH,CC018,2985.8
2024-04-01,RH,CC019,21450.45
2024-04-01,RH,CC020,9949.62
2024-04-01,Diretoria,CC021,18945.72
2024-04-01,Diretoria,CC022,11145.81
2024-04-01,Diretoria,CC023,12671.5
2024-05-01,Comercial,CC001,22876.48
2024-05-01,Comercial,CC002,36615.03
2024-05-01,Comercial,CC003,32005.73
2024-05-01,Comercial,CC004,29750.09
2024-05-01,Operações,CC005,36275.39
2024-05-01,Operações,CC006,25033.69
2024-05-01,Operações,CC007,14794.21
2024-05-01,Operações,CC008,29263.49
2024-05-01,Tecnologia,CC009,15616.1
2024-05-01,Tecnologia,CC010,28088.83
2024-05-01,Tecnologia,CC011,57927.6
2024-05-01,Administrativo,CC012,19384.44
2024-05-01,Administrativo,CC013,7735.91
2024-05-01,Administrativo,CC014,14115.49
2024-05-01,Financeiro,CC015,25301.37
2024-05-01,Financeiro,CC016,7547.09
2024-05-01,Financeiro,CC017,10796.62
2024-05-01,RH,CC018,2302.95
2024-05-01,RH,CC019,18397.41
2024-05-01,RH,CC020,17816.12
2024-05-01,Diretoria,CC021,21113.69
2024-05-01,Diretoria,CC022,14676.43
2024-05-01,Diretoria,CC023,11059.87
2024-06-01,Comercial,CC001,22763.1
2024-06-01,Comercial,CC002,37298.08
2024-06-01,Comercial,CC003,26217.74
2024-06-01,Comercial,CC004,29447.75
2024-06-01,Operações,CC005,32471.69
2024-06-01,Operações,CC006,21848.4
2024-06-01,Operações,CC007,14982.64
2024-06-01,Operações,CC008,27296.75
2024-06-01,Tecnologia,CC009,36923.14
2024-06-01,Tecnologia,CC010,18573.92
2024-06-01,Tecnologia,CC011,39460.39
2024-06-01,Administrativo,CC012,20524.71
2024-06-01,Administrativo,CC013,6640.39
2024-06-01,Administrativo,CC014,12834.82
2024-06-01,Financeiro,CC015,18892.1
2024-06-01,Financeiro,CC016,9838.6
2024-06-01,Financeiro,CC017,12942.97
2024-06-01,RH,CC018,3282.59
2024-06-01,RH,CC019,7174.58
2024-06-01,RH,CC020,23406.53
2024-06-01,Diretoria,CC021,15266.57
2024-06-01,Diretoria,CC022,16962.39
2024-06-01,Diretoria,CC023,12234.73
2024-07-01,Comercial,CC001,17451.83
2024-07-01,Comercial,CC002,35576.19
2024-07-01,Comercial,CC003,22607.29
2024-07-01,Comercial,CC004,26421.67
2024-07-01,Operações,CC005,31769.8
2024-07-01,Operações,CC006,18522.07
2024-07-01,Operações,CC007,15393.63
2024-07-01,Operações,CC008,23037.26
2024-07-01,Tecnologia,CC009,31047.43
2024-07-01,Tecnologia,CC010,15914.99
2024-07-01,Tecnologia,CC011,40127.02
2024-07-01,Administrativo,CC012,18998.14
2024-07-01,Administrativo,CC013,6040.53
2024-07-01,Administrativo,CC014,10705.59
2024-07-01,Financeiro,CC015,21175.34
2024-07-01,Financeiro,CC016,6985.64
2024-07-01,Financeiro,CC017,8755.48
2024-07-01,RH,CC018,2732.54
2024-07-01,RH,CC019,8011.04
2024-07-01,RH,CC020,20395.17
2024-07-01,Diretoria,CC021,17761.5
2024-07-01,Diretoria,CC022,15309.48
2024-07-01,Diretoria,CC023,6598.42
2024-08-01,Comercial,CC001,23393.72
2024-08-01,Comercial,CC002,36176.42
2024-08-01,Comercial,CC003,27520.49
2024-08-01,Comercial,CC004,30066.4
2024-08-01,Operações,CC005,25923.24
2024-08-01,Operações,CC006,25457.69
2024-08-01,Operações,CC007,14356.24
2024-08-01,Operações,CC008,27481.48
2024-08-01,Tecnologia,CC009,33042.27
2024-08-01,Tecnologia,CC010,18865.48
2024-08-01,Tecnologia,CC011,43540.09
2024-08-01,Administrativo,CC012,12299.21
2024-08-01,Administrativo,CC013,9650.43
2024-08-01,Administrativo,CC014,16784.81
2024-08-01,Financeiro,CC015,19041.53
2024-08-01,Financeiro,CC016,11425.22
2024-08-01,Financeiro,CC017,11595.16
2024-08-01,RH,CC018,2523.08
2024-08-01,RH,CC019,20053.67
2024-08-01,RH,CC020,13142.9
2024-08-01,Diretoria,CC021,20199.5
2024-08-01,Diretoria,CC022,8988.88
2024-08-01,Diretoria,CC023,14817.36
2024-09-01,Comercial,CC001,20927.28
2024-09-01,Comercial,CC002,36676.79
2024-09-01,Comercial,CC003,43735.3
2024-09-01,Comercial,CC004,29263.0
2024-09-01,Operações,CC005,32491.94
2024-09-01,Operações,CC006,22870.61
2024-09-01,Operações,CC007,17794.77
2024-09-01,Operações,CC008,28957.5
2024-09-01,Tecnologia,CC009,41842.96
2024-09-01,Tecnologia,CC010,19993.76
2024-09-01,Tecnologia,CC011,34064.13
2024-09-01,Administrativo,CC012,23895.99
2024-09-01,Administrativo,CC013,6782.22
2024-09-01,Administrativo,CC014,11073.6
2024-09-01,Financeiro,CC015,23466.12
2024-09-01,Financeiro,CC016,9418.73
2024-09-01,Financeiro,CC017,10949.26
2024-09-01,RH,CC018,2016.72
2024-09-01,RH,CC019,18869.2
2024-09-01,RH,CC020,16432.33
2024-09-01,Diretoria,CC021,17062.16
2024-09-01,Diretoria,CC022,14250.86
2024-09-01,Diretoria,CC023,12262.81
2024-10-01,Comercial,CC001,38462.28
2024-10-01,Comercial,CC002,35412.94
2024-10-01,Comercial,CC003,27626.16
2024-10-01,Comercial,CC004,26912.36
2024-10-01,Operações,CC005,34632.94
2024-10-01,Operações,CC006,25150.62
2024-10-01,Operações,CC007,14538.9
2024-10-01,Operações,CC008,30632.94
2024-10-01,Tecnologia,CC009,37375.74
2024-10-01,Tecnologia,CC010,16902.0
2024-10-01,Tecnologia,CC011,47060.98
2024-10-01,Administrativo,CC012,21969.5
2024-10-01,Administrativo,CC013,7496.61
2024-10-01,Administrativo,CC014,17393.88
2024-10-01,Financeiro,CC015,22774.98
2024-10-01,Financeiro,CC016,7361.91
2024-10-01,Financeiro,CC017,12512.76
2024-10-01,RH,CC018,2766.45
2024-10-01,RH,CC019,16744.56
2024-10-01,RH,CC020,16428.73
2024-10-01,Diretoria,CC021,17139.7
2024-10-01,Diretoria,CC022,14821.75
2024-10-01,Diretoria,CC023,12976.34
2024-11-01,Comercial,CC001,18322.59
2024-11-01,Comercial,CC002,40313.0
2024-11-01,Comercial,CC003,39281.63
2024-11-01,Comercial,CC004,31236.66
2024-11-01,Operações,CC005,27746.56
2024-11-01,Operações,CC006,27098.14
2024-11-01,Operações,CC007,14567.43
2024-11-01,Operações,CC008,30036.59
2024-11-01,Tecnologia,CC009,36422.11
2024-11-01,Tecnologia,CC010,16188.73
2024-11-01,Tecnologia,CC011,42325.87
2024-11-01,Administrativo,CC012,24014.98
2024-11-01,Administrativo,CC013,2344.41
2024-11-01,Administrativo,CC014,12200.25
2024-11-01,Financeiro,CC015,22621.02
2024-11-01,Financeiro,CC016,8453.81
2024-11-01,Financeiro,CC017,12329.81
2024-11-01,RH,CC018,2639.51
2024-11-01,RH,CC019,11088.9
2024-11-01,RH,CC020,22150.1
2024-11-01,Diretoria,CC021,19231.2
2024-11-01,Diretoria,CC022,16103.72
2024-11-01,Diretoria,CC023,11265.72
2024-12-01,Comercial,CC001,17105.82
2024-12-01,Comercial,CC002,32058.67
2024-12-01,Comercial,CC003,23426.46
2024-12-01,Comercial,CC004,29033.43
2024-12-01,Operações,CC005,26361.17
2024-12-01,Operações,CC006,19944.45
2024-12-01,Operações,CC007,13108.84
2024-12-01,Operações,CC008,24679.64
